图标	方块	命名空间ID	物品形式
	苔石台阶	mossy_cobblestone_slab	ID相同
	苔石楼梯	mossy_cobblestone_stairs	ID相同
	苔石墙	mossy_cobblestone_wall	ID相同
	苔石砖台阶	mossy_stone_brick_slab	ID相同
	苔石砖楼梯	mossy_stone_brick_stairs	ID相同
	苔石砖墙	mossy_stone_brick_wall	ID相同
	苔石砖	mossy_stone_bricks	ID相同
移动的活塞	moving_piston	没有物品形式
	泥巴	mud	ID相同
	泥砖台阶	mud_brick_slab	ID相同
	泥砖楼梯	mud_brick_stairs	ID相同
	泥砖墙	mud_brick_wall	ID相同
	泥砖	mud_bricks	ID相同
	沾泥的红树根	muddy_mangrove_roots	ID相同
	蘑菇柄	mushroom_stem	ID相同
	菌丝体	mycelium	ID相同
	下界砖栅栏	nether_brick_fence	ID相同
	下界砖台阶	nether_brick_slab	ID相同
	下界砖楼梯	nether_brick_stairs	ID相同
	下界砖墙	nether_brick_wall	ID相同
	下界砖块	nether_bricks	ID相同
	下界金矿石	nether_gold_ore	ID相同
	下界传送门	nether_portal	没有物品形式
	下界石英矿石	nether_quartz_ore	ID相同
	下界苗	nether_sprouts	ID相同
	下界疣	nether_wart	ID相同
	下界疣块	nether_wart_block	ID相同
	下界合金块	netherite_block	ID相同
	下界岩	netherrack	ID相同
	音符盒	note_block	ID相同
	橡木按钮	oak_button	ID相同
	橡木门	oak_door	ID相同
	橡木栅栏	oak_fence	ID相同
	橡木栅栏门	oak_fence_gate	ID相同
	悬挂式橡木告示牌	oak_hanging_sign	ID相同
	橡树树叶	oak_leaves	ID相同
	橡木原木	oak_log	ID相同
	橡木木板	oak_planks	ID相同
	橡木压力板	oak_pressure_plate	ID相同
	橡树树苗	oak_sapling	ID相同
	橡木告示牌	oak_sign	ID相同
	橡木台阶	oak_slab	ID相同
	橡木楼梯	oak_stairs	ID相同
	橡木活板门	oak_trapdoor	ID相同
	墙上的悬挂式橡木告示牌	oak_wall_hanging_sign	物品的放置方式变种（oak_hanging_sign）
	墙上的橡木告示牌	oak_wall_sign	物品的放置方式变种（oak_sign）
	橡木	oak_wood	ID相同
	侦测器	observer	ID相同
	黑曜石	obsidian	ID相同
	赭黄蛙明灯	ochre_froglight	ID相同
	张开的眼眸花	open_eyeblossom	ID相同
	橙色旗帜	orange_banner	ID相同
	橙色床	orange_bed	ID相同
	橙色蜡烛	orange_candle	ID相同
	插上橙色蜡烛的蛋糕	orange_candle_cake	叠加型方块（cake）
	橙色地毯	orange_carpet	ID相同
	橙色混凝土	orange_concrete	ID相同
	橙色混凝土粉末	orange_concrete_powder	ID相同
	橙色带釉陶瓦	orange_glazed_terracotta	ID相同
	橙色潜影盒	orange_shulker_box	ID相同
	橙色染色玻璃	orange_stained_glass	ID相同
	橙色染色玻璃板	orange_stained_glass_pane	ID相同
	橙色陶瓦	orange_terracotta	ID相同
	橙色郁金香	orange_tulip	ID相同
	墙上的橙色旗帜	orange_wall_banner	物品的放置方式变种（orange_banner）
	橙色羊毛	orange_wool	ID相同
	滨菊	oxeye_daisy	ID相同
	氧化的雕纹铜块	oxidized_chiseled_copper	ID相同
	氧化的铜块	oxidized_copper	ID相同
	氧化的铜灯	oxidized_copper_bulb	ID相同
	氧化的铜门	oxidized_copper_door	ID相同
	氧化的铜格栅	oxidized_copper_grate	ID相同
	氧化的铜活板门	oxidized_copper_trapdoor	ID相同
	氧化的切制铜块	oxidized_cut_copper	ID相同
	氧化的切制铜台阶	oxidized_cut_copper_slab	ID相同
	氧化的切制铜楼梯	oxidized_cut_copper_stairs	ID相同
	浮冰	packed_ice	ID相同
	泥坯	packed_mud	ID相同
	苍白垂须	pale_hanging_moss	ID相同
	苍白苔藓块	pale_moss_block	ID相同
	苍白覆地苔藓	pale_moss_carpet	ID相同
	苍白橡木按钮	pale_oak_button	ID相同
	苍白橡木门	pale_oak_door	ID相同
	苍白橡木栅栏	pale_oak_fence	ID相同
	苍白橡木栅栏门	pale_oak_fence_gate	ID相同
	悬挂式苍白橡木告示牌	pale_oak_hanging_sign	ID相同
	苍白橡树树叶	pale_oak_leaves	ID相同
	苍白橡木原木	pale_oak_log	ID相同
	苍白橡木木板	pale_oak_planks	ID相同
	苍白橡木压力板	pale_oak_pressure_plate	ID相同
	苍白橡树树苗	pale_oak_sapling	ID相同
	苍白橡木告示牌	pale_oak_sign	ID相同
	苍白橡木台阶	pale_oak_slab	ID相同
	苍白橡木楼梯	pale_oak_stairs	ID相同
	苍白橡木活板门	pale_oak_trapdoor	ID相同
	墙上的悬挂式苍白橡木告示牌	pale_oak_wall_hanging_sign	物品的放置方式变种（pale_oak_hanging_sign）
	墙上的苍白橡木告示牌	pale_oak_wall_sign	物品的放置方式变种（pale_oak_sign）
	苍白橡木	pale_oak_wood	ID相同
	珠光蛙明灯	pearlescent_froglight	ID相同
	牡丹	peony	ID相同
	石化橡木台阶	petrified_oak_slab	ID相同
	猪灵的头	piglin_head	ID相同
	墙上的猪灵的头	piglin_wall_head	物品的放置方式变种（piglin_head）
	粉红色旗帜	pink_banner	ID相同
	粉红色床	pink_bed	ID相同
	粉红色蜡烛	pink_candle	ID相同
	插上粉红色蜡烛的蛋糕	pink_candle_cake	叠加型方块（cake）
	粉红色地毯	pink_carpet	ID相同
	粉红色混凝土	pink_concrete	ID相同
	粉红色混凝土粉末	pink_concrete_powder	ID相同
	粉红色带釉陶瓦	pink_glazed_terracotta	ID相同
	粉红色潜影盒	pink_shulker_box	ID相同
	粉红色染色玻璃	pink_stained_glass	ID相同
	粉红色染色玻璃板	pink_stained_glass_pane	ID相同
	粉红色陶瓦	pink_terracotta	ID相同
	粉红色郁金香	pink_tulip	ID相同
	墙上的粉红色旗帜	pink_wall_banner	物品的放置方式变种（pink_banner）
	粉红色羊毛	pink_wool	ID相同
	活塞	piston	ID相同
	活塞头	piston_head	没有物品形式
	瓶子草荚果	pitcher_crop	ID不同（pitcher_pod）
	瓶子草	pitcher_plant	ID相同
	玩家的头	player_head	ID相同
	墙上的玩家的头	player_wall_head	物品的放置方式变种（player_head）
	灰化土	podzol	ID相同
	滴水石锥	pointed_dripstone	ID相同
	磨制安山岩	polished_andesite	ID相同
	磨制安山岩台阶	polished_andesite_slab	ID相同
	磨制安山岩楼梯	polished_andesite_stairs	ID相同
	磨制玄武岩	polished_basalt	ID相同
	磨制黑石	polished_blackstone	ID相同
	磨制黑石砖台阶	polished_blackstone_brick_slab	ID相同
	磨制黑石砖楼梯	polished_blackstone_brick_stairs	ID相同
	磨制黑石砖墙	polished_blackstone_brick_wall	ID相同
	磨制黑石砖	polished_blackstone_bricks	ID相同
	磨制黑石按钮	polished_blackstone_button	ID相同
	磨制黑石压力板	polished_blackstone_pressure_plate	ID相同
	磨制黑石台阶	polished_blackstone_slab	ID相同
	磨制黑石楼梯	polished_blackstone_stairs	ID相同
	磨制黑石墙	polished_blackstone_wall	ID相同
	磨制深板岩	polished_deepslate	ID相同
	磨制深板岩台阶	polished_deepslate_slab	ID相同
	磨制深板岩楼梯	polished_deepslate_stairs	ID相同
	磨制深板岩墙	polished_deepslate_wall	ID相同
	磨制闪长岩	polished_diorite	ID相同
	磨制闪长岩台阶	polished_diorite_slab	ID相同
	磨制闪长岩楼梯	polished_diorite_stairs	ID相同
	磨制花岗岩	polished_granite	ID相同
	磨制花岗岩台阶	polished_granite_slab	ID相同
	磨制花岗岩楼梯	polished_granite_stairs	ID相同
	磨制凝灰岩	polished_tuff	ID相同
	磨制凝灰岩台阶	polished_tuff_slab	ID相同
	磨制凝灰岩楼梯	polished_tuff_stairs	ID相同
	磨制凝灰岩墙	polished_tuff_wall	ID相同
	虞美人	poppy	ID相同
	马铃薯	potatoes	ID不同（potato）
	金合欢树苗盆栽	potted_acacia_sapling	叠加型方块（flower_pot）
	绒球葱盆栽	potted_allium	叠加型方块（flower_pot）
	杜鹃花丛盆栽	potted_azalea_bush	叠加型方块（flower_pot）
	蓝花美耳草盆栽	potted_azure_bluet	叠加型方块（flower_pot）
	竹子盆栽	potted_bamboo	叠加型方块（flower_pot）
	白桦树苗盆栽	potted_birch_sapling	叠加型方块（flower_pot）
	兰花盆栽	potted_blue_orchid	叠加型方块（flower_pot）
	棕色蘑菇盆栽	potted_brown_mushroom	叠加型方块（flower_pot）
	仙人掌盆栽	potted_cactus	叠加型方块（flower_pot）
	樱花树苗盆栽	potted_cherry_sapling	叠加型方块（flower_pot）
	闭合的眼眸花盆栽	potted_closed_eyeblossom	叠加型方块（flower_pot）
	矢车菊盆栽	potted_cornflower	叠加型方块（flower_pot）
	绯红菌盆栽	potted_crimson_fungus	叠加型方块（flower_pot）
	绯红菌索盆栽	potted_crimson_roots	叠加型方块（flower_pot）
	蒲公英盆栽	potted_dandelion	叠加型方块（flower_pot）
	深色橡树树苗盆栽	potted_dark_oak_sapling	叠加型方块（flower_pot）
	枯萎的灌木盆栽	potted_dead_bush	叠加型方块（flower_pot）
	蕨盆栽	potted_fern	叠加型方块（flower_pot）
	盛开的杜鹃花丛盆栽	potted_flowering_azalea_bush	叠加型方块（flower_pot）
	丛林树苗盆栽	potted_jungle_sapling	叠加型方块（flower_pot）
	铃兰盆栽	potted_lily_of_the_valley	叠加型方块（flower_pot）
	橡树树苗盆栽	potted_oak_sapling	叠加型方块（flower_pot）
	张开的眼眸花盆栽	potted_open_eyeblossom	叠加型方块（flower_pot）
	橙色郁金香盆栽	potted_orange_tulip	叠加型方块（flower_pot）
	滨菊盆栽	potted_oxeye_daisy	叠加型方块（flower_pot）
	苍白橡树树苗盆栽	potted_pale_oak_sapling	叠加型方块（flower_pot）
	粉红色郁金香盆栽	potted_pink_tulip	叠加型方块（flower_pot）
	虞美人盆栽	potted_poppy	叠加型方块（flower_pot）
	红色蘑菇盆栽	potted_red_mushroom	叠加型方块（flower_pot）
	红色郁金香盆栽	potted_red_tulip	叠加型方块（flower_pot）
	云杉树苗盆栽	potted_spruce_sapling	叠加型方块（flower_pot）
	火把花盆栽	potted_torchflower	叠加型方块（flower_pot）
	诡异菌盆栽	potted_warped_fungus	叠加型方块（flower_pot）
	诡异菌索盆栽	potted_warped_roots	叠加型方块（flower_pot）
	白色郁金香盆栽	potted_white_tulip	叠加型方块（flower_pot）
	凋灵玫瑰盆栽	potted_wither_rose	叠加型方块（flower_pot）
	细雪	powder_snow	ID不同（powder_snow_bucket）
	装有细雪的炼药锅	powder_snow_cauldron	叠加型方块（cauldron）
	动力铁轨	powered_rail	ID相同
	海晶石	prismarine	ID相同
	海晶石砖台阶	prismarine_brick_slab	ID相同
	海晶石砖楼梯	prismarine_brick_stairs	ID相同
	海晶石砖	prismarine_bricks	ID相同
	海晶石台阶	prismarine_slab	ID相同
	海晶石楼梯	prismarine_stairs	ID相同
	海晶石墙	prismarine_wall	ID相同
	南瓜	pumpkin	ID相同
	南瓜茎	pumpkin_stem	ID不同（pumpkin_seeds）
	紫色旗帜	purple_banner	ID相同
	紫色床	purple_bed	ID相同
	紫色蜡烛	purple_candle	ID相同
	插上紫色蜡烛的蛋糕	purple_candle_cake	叠加型方块（cake）
	紫色地毯	purple_carpet	ID相同
	紫色混凝土	purple_concrete	ID相同
	紫色混凝土粉末	purple_concrete_powder	ID相同
	紫色带釉陶瓦	purple_glazed_terracotta	ID相同
	紫色潜影盒	purple_shulker_box	ID相同
	紫色染色玻璃	purple_stained_glass	ID相同
	紫色染色玻璃板	purple_stained_glass_pane	ID相同
	紫色陶瓦	purple_terracotta	ID相同
	墙上的紫色旗帜	purple_wall_banner	物品的放置方式变种（purple_banner）
	紫色羊毛	purple_wool	ID相同
	紫珀块	purpur_block	ID相同
	紫珀柱	purpur_pillar	ID相同
	紫珀台阶	purpur_slab	ID相同
	紫珀楼梯	purpur_stairs	ID相同
	石英块	quartz_block	ID相同
	石英砖	quartz_bricks	ID相同
	石英柱	quartz_pillar	ID相同
	石英台阶	quartz_slab	ID相同
	石英楼梯	quartz_stairs	ID相同
	铁轨	rail	ID相同
	粗铜块	raw_copper_block	ID相同
	粗金块	raw_gold_block	ID相同
	粗铁块	raw_iron_block	ID相同
	红色旗帜	red_banner	ID相同
	红色床	red_bed	ID相同
	红色蜡烛	red_candle	ID相同
	插上红色蜡烛的蛋糕	red_candle_cake	叠加型方块（cake）
	红色地毯	red_carpet	ID相同
	红色混凝土	red_concrete	ID相同
	红色混凝土粉末	red_concrete_powder	ID相同
	红色带釉陶瓦	red_glazed_terracotta	ID相同
	红色蘑菇	red_mushroom	ID相同
	红色蘑菇方块	red_mushroom_block	ID相同
	红色下界砖台阶	red_nether_brick_slab	ID相同
	红色下界砖楼梯	red_nether_brick_stairs	ID相同
	红色下界砖墙	red_nether_brick_wall	ID相同
	红色下界砖块	red_nether_bricks	ID相同
	红沙	red_sand	ID相同
	红砂岩	red_sandstone	ID相同
	红砂岩台阶	red_sandstone_slab	ID相同
	红砂岩楼梯	red_sandstone_stairs	ID相同
	红砂岩墙	red_sandstone_wall	ID相同
	红色潜影盒	red_shulker_box	ID相同
	红色染色玻璃	red_stained_glass	ID相同
	红色染色玻璃板	red_stained_glass_pane	ID相同
	红色陶瓦	red_terracotta	ID相同
	红色郁金香	red_tulip	ID相同
	墙上的红色旗帜	red_wall_banner	物品的放置方式变种（red_banner）
	红色羊毛	red_wool	ID相同
	红石块	redstone_block	ID相同
	红石灯	redstone_lamp	ID相同
	红石矿石	redstone_ore	ID相同
	红石火把	redstone_torch	ID相同
	墙上的红石火把	redstone_wall_torch	物品的放置方式变种（redstone_torch）
	红石线	redstone_wire	ID不同（redstone）
	红石中继器	repeater	ID相同
	循环型命令方块	repeating_command_block	ID相同
	树脂块	resin_block	ID相同
	树脂砖台阶	resin_brick_slab	ID相同
	树脂砖楼梯	resin_brick_stairs	ID相同
	树脂砖墙	resin_brick_wall	ID相同
	树脂砖块	resin_bricks	ID相同
	树脂团	resin_clump	ID相同
	重生锚	respawn_anchor	ID相同
	缠根泥土	rooted_dirt	ID相同
	玫瑰丛	rose_bush	ID相同
	沙子	sand	ID相同
	砂岩	sandstone	ID相同
	砂岩台阶	sandstone_slab	ID相同
	砂岩楼梯	sandstone_stairs	ID相同
	砂岩墙	sandstone_wall	ID相同
	脚手架	scaffolding	ID相同
	幽匿块	sculk	ID相同
	幽匿催发体	sculk_catalyst	ID相同
	幽匿感测体	sculk_sensor	ID相同
	幽匿尖啸体	sculk_shrieker	ID相同
	幽匿脉络	sculk_vein	ID相同
	海晶灯	sea_lantern	ID相同
	海泡菜	sea_pickle	ID相同
	海草	seagrass	ID相同
	矮枯草丛	short_dry_grass	ID相同
	矮草丛	short_grass	ID相同
	菌光体	shroomlight	ID相同
	潜影盒	shulker_box	ID相同
	骷髅头颅	skeleton_skull	ID相同
	墙上的骷髅头颅	skeleton_wall_skull	物品的放置方式变种（skeleton_skull）
	黏液块	slime_block	ID相同
	小型紫晶芽	small_amethyst_bud	ID相同
	小型垂滴叶	small_dripleaf	ID相同
	锻造台	smithing_table	ID相同
	烟熏炉	smoker	ID相同
	平滑玄武岩	smooth_basalt	ID相同
	平滑石英块	smooth_quartz	ID相同
	平滑石英台阶	smooth_quartz_slab	ID相同
	平滑石英楼梯	smooth_quartz_stairs	ID相同
	平滑红砂岩	smooth_red_sandstone	ID相同
	平滑红砂岩台阶	smooth_red_sandstone_slab	ID相同
	平滑红砂岩楼梯	smooth_red_sandstone_stairs	ID相同
	平滑砂岩	smooth_sandstone	ID相同
	平滑砂岩台阶	smooth_sandstone_slab	ID相同
	平滑砂岩楼梯	smooth_sandstone_stairs	ID相同
	平滑石头	smooth_stone	ID相同
	平滑石头台阶	smooth_stone_slab	ID相同
	嗅探兽蛋	sniffer_egg	ID相同
	雪	snow	ID相同
	雪块	snow_block	ID相同
	灵魂营火	soul_campfire	ID相同
	灵魂火	soul_fire	没有物品形式
	灵魂灯笼	soul_lantern	ID相同
	灵魂沙	soul_sand	ID相同
	灵魂土	soul_soil	ID相同
	灵魂火把	soul_torch	ID相同
	墙上的灵魂火把	soul_wall_torch	物品的放置方式变种（soul_torch）
	刷怪笼	spawner	ID相同
	海绵	sponge	ID相同
	孢子花	spore_blossom	ID相同
	云杉木按钮	spruce_button	ID相同
	云杉木门	spruce_door	ID相同
	云杉木栅栏	spruce_fence	ID相同
	云杉木栅栏门	spruce_fence_gate	ID相同
	悬挂式云杉木告示牌	spruce_hanging_sign	ID相同
	云杉树叶	spruce_leaves	ID相同
	云杉原木	spruce_log	ID相同
	云杉木板	spruce_planks	ID相同
	云杉木压力板	spruce_pressure_plate	ID相同
	云杉树苗	spruce_sapling	ID相同
	云杉木告示牌	spruce_sign	ID相同
	云杉木台阶	spruce_slab	ID相同
	云杉木楼梯	spruce_stairs	ID相同
	云杉木活板门	spruce_trapdoor	ID相同
	墙上的悬挂式云杉木告示牌	spruce_wall_hanging_sign	物品的放置方式变种（spruce_hanging_sign）
	墙上的云杉木告示牌	spruce_wall_sign	物品的放置方式变种（spruce_sign）
	云杉木	spruce_wood	ID相同
	黏性活塞	sticky_piston	ID相同
	石头	stone	ID相同
	石砖台阶	stone_brick_slab	ID相同
	石砖楼梯	stone_brick_stairs	ID相同
	石砖墙	stone_brick_wall	ID相同
	石砖	stone_bricks	ID相同
	石头按钮	stone_button	ID相同
	石头压力板	stone_pressure_plate	ID相同
	石头台阶	stone_slab	ID相同
	石头楼梯	stone_stairs	ID相同
	切石机	stonecutter	ID相同
	去皮金合欢原木	stripped_acacia_log	ID相同
	去皮金合欢木	stripped_acacia_wood	ID相同
	去皮竹块	stripped_bamboo_block	ID相同
	去皮白桦原木	stripped_birch_log	ID相同
	去皮白桦木	stripped_birch_wood	ID相同
	去皮樱花原木	stripped_cherry_log	ID相同
	去皮樱花木	stripped_cherry_wood	ID相同
	去皮绯红菌核	stripped_crimson_hyphae	ID相同
	去皮绯红菌柄	stripped_crimson_stem	ID相同
	去皮深色橡木原木	stripped_dark_oak_log	ID相同
	去皮深色橡木	stripped_dark_oak_wood	ID相同
	去皮丛林原木	stripped_jungle_log	ID相同
	去皮丛林木	stripped_jungle_wood	ID相同
	去皮红树原木	stripped_mangrove_log	ID相同
	去皮红树木	stripped_mangrove_wood	ID相同
	去皮橡木原木	stripped_oak_log	ID相同
	去皮橡木	stripped_oak_wood	ID相同
	去皮苍白橡木原木	stripped_pale_oak_log	ID相同
	去皮苍白橡木	stripped_pale_oak_wood	ID相同
	去皮云杉原木	stripped_spruce_log	ID相同
	去皮云杉木	stripped_spruce_wood	ID相同
	去皮诡异菌核	stripped_warped_hyphae	ID相同
	去皮诡异菌柄	stripped_warped_stem	ID相同
	结构方块	structure_block	ID相同
	结构空位	structure_void	ID相同
	甘蔗	sugar_cane	ID相同
	向日葵	sunflower	ID相同
	可疑的沙砾	suspicious_gravel	ID相同
	可疑的沙子	suspicious_sand	ID相同
	甜浆果丛	sweet_berry_bush	ID不同（sweet_berries）
	高枯草丛	tall_dry_grass	ID相同
	高草丛	tall_grass	ID相同
	高海草	tall_seagrass	没有物品形式
	标靶	target	ID相同
	陶瓦	terracotta	ID相同
	测试方块	test_block	ID相同
	测试实例方块	test_instance_block	ID相同
	遮光玻璃	tinted_glass	ID相同
	TNT	tnt	ID相同
	火把	torch	ID相同
	火把花种子	torchflower_crop	ID不同（torchflower_seeds）
	陷阱箱	trapped_chest	ID相同
	试炼刷怪笼	trial_spawner	ID相同
	绊线	tripwire	ID不同（string）
	绊线钩	tripwire_hook	ID相同
	管珊瑚	tube_coral	ID相同
	管珊瑚块	tube_coral_block	ID相同
	管珊瑚扇	tube_coral_fan	ID相同
	墙上的管珊瑚扇	tube_coral_wall_fan	物品的放置方式变种（tube_coral_fan）
	凝灰岩	tuff	ID相同
	凝灰岩砖台阶	tuff_brick_slab	ID相同
	凝灰岩砖楼梯	tuff_brick_stairs	ID相同
	凝灰岩砖墙	tuff_brick_wall	ID相同
	凝灰岩砖块	tuff_bricks	ID相同
	凝灰岩台阶	tuff_slab	ID相同
	凝灰岩楼梯	tuff_stairs	ID相同
	凝灰岩墙	tuff_wall	ID相同
	海龟蛋	turtle_egg	ID相同
	缠怨藤	twisting_vines	ID相同
	缠怨藤植株	twisting_vines_plant	物品的生长阶段变种（twisting_vines）
	宝库	vault	ID相同
	青翠蛙明灯	verdant_froglight	ID相同
	藤蔓	vine	ID相同
虚空空气	void_air	没有物品形式
	墙上的火把	wall_torch	物品的放置方式变种（torch）
	诡异木按钮	warped_button	ID相同
	诡异木门	warped_door	ID相同
	诡异木栅栏	warped_fence	ID相同
	诡异木栅栏门	warped_fence_gate	ID相同
	诡异菌	warped_fungus	ID相同
	悬挂式诡异木告示牌	warped_hanging_sign	ID相同
	诡异菌核	warped_hyphae	ID相同
	诡异菌岩	warped_nylium	ID相同
	诡异木板	warped_planks	ID相同
	诡异木压力板	warped_pressure_plate	ID相同
	诡异菌索	warped_roots	ID相同
	诡异木告示牌	warped_sign	ID相同
	诡异木台阶	warped_slab	ID相同
	诡异木楼梯	warped_stairs	ID相同
	诡异菌柄	warped_stem	ID相同
	诡异木活板门	warped_trapdoor	ID相同
	墙上的悬挂式诡异木告示牌	warped_wall_hanging_sign	物品的放置方式变种（warped_hanging_sign）
	墙上的诡异木告示牌	warped_wall_sign	物品的放置方式变种（warped_sign）
	诡异疣块	warped_wart_block	ID相同
	水	water	ID不同（water_bucket）
	装有水的炼药锅	water_cauldron	叠加型方块（cauldron）
	涂蜡的雕纹铜块	waxed_chiseled_copper	ID相同
	涂蜡的铜块	waxed_copper_block	ID相同
	涂蜡的铜灯	waxed_copper_bulb	ID相同
	涂蜡的铜门	waxed_copper_door	ID相同
	涂蜡的铜格栅	waxed_copper_grate	ID相同
	涂蜡的铜活板门	waxed_copper_trapdoor	ID相同
	涂蜡的切制铜块	waxed_cut_copper	ID相同
	涂蜡的切制铜台阶	waxed_cut_copper_slab	ID相同
	涂蜡的切制铜楼梯	waxed_cut_copper_stairs	ID相同
	涂蜡的斑驳雕纹铜块	waxed_exposed_chiseled_copper	ID相同
	涂蜡的斑驳铜块	waxed_exposed_copper	ID相同
	涂蜡的斑驳铜灯	waxed_exposed_copper_bulb	ID相同
	涂蜡的斑驳铜门	waxed_exposed_copper_door	ID相同
	涂蜡的斑驳铜格栅	waxed_exposed_copper_grate	ID相同
	涂蜡的斑驳铜活板门	waxed_exposed_copper_trapdoor	ID相同
	涂蜡的斑驳切制铜块	waxed_exposed_cut_copper	ID相同
	涂蜡的斑驳切制铜台阶	waxed_exposed_cut_copper_slab	ID相同
	涂蜡的斑驳切制铜楼梯	waxed_exposed_cut_copper_stairs	ID相同
	涂蜡的氧化雕纹铜块	waxed_oxidized_chiseled_copper	ID相同
	涂蜡的氧化铜块	waxed_oxidized_copper	ID相同
	涂蜡的氧化铜灯	waxed_oxidized_copper_bulb	ID相同
	涂蜡的氧化铜门	waxed_oxidized_copper_door	ID相同
	涂蜡的氧化铜格栅	waxed_oxidized_copper_grate	ID相同
	涂蜡的氧化铜活板门	waxed_oxidized_copper_trapdoor	ID相同
	涂蜡的氧化切制铜块	waxed_oxidized_cut_copper	ID相同
	涂蜡的氧化切制铜台阶	waxed_oxidized_cut_copper_slab	ID相同
	涂蜡的氧化切制铜楼梯	waxed_oxidized_cut_copper_stairs	ID相同
	涂蜡的锈蚀雕纹铜块	waxed_weathered_chiseled_copper	ID相同
	涂蜡的锈蚀铜块	waxed_weathered_copper	ID相同
	涂蜡的锈蚀铜灯	waxed_weathered_copper_bulb	ID相同
	涂蜡的锈蚀铜门	waxed_weathered_copper_door	ID相同
	涂蜡的锈蚀铜格栅	waxed_weathered_copper_grate	ID相同
	涂蜡的锈蚀铜活板门	waxed_weathered_copper_trapdoor	ID相同
	涂蜡的锈蚀切制铜块	waxed_weathered_cut_copper	ID相同
	涂蜡的锈蚀切制铜台阶	waxed_weathered_cut_copper_slab	ID相同
	涂蜡的锈蚀切制铜楼梯	waxed_weathered_cut_copper_stairs	ID相同
	锈蚀的雕纹铜块	weathered_chiseled_copper	ID相同
	锈蚀的铜块	weathered_copper	ID相同
	锈蚀的铜灯	weathered_copper_bulb	ID相同
	锈蚀的铜门	weathered_copper_door	ID相同
	锈蚀的铜格栅	weathered_copper_grate	ID相同
	锈蚀的铜活板门	weathered_copper_trapdoor	ID相同
	锈蚀的切制铜块	weathered_cut_copper	ID相同
	锈蚀的切制铜台阶	weathered_cut_copper_slab	ID相同
	锈蚀的切制铜楼梯	weathered_cut_copper_stairs	ID相同
	垂泪藤	weeping_vines	ID相同
	垂泪藤植株	weeping_vines_plant	物品的生长阶段变种（weeping_vines）
	湿海绵	wet_sponge	ID相同
	小麦	wheat	ID不同（wheat_seeds）
	白色旗帜	white_banner	ID相同
	白色床	white_bed	ID相同
	白色蜡烛	white_candle	ID相同
	插上白色蜡烛的蛋糕	white_candle_cake	叠加型方块（cake）
	白色地毯	white_carpet	ID相同
	白色混凝土	white_concrete	ID相同
	白色混凝土粉末	white_concrete_powder	ID相同
	白色带釉陶瓦	white_glazed_terracotta	ID相同
	白色潜影盒	white_shulker_box	ID相同
	白色染色玻璃	white_stained_glass	ID相同
	白色染色玻璃板	white_stained_glass_pane	ID相同
	白色陶瓦	white_terracotta	ID相同
	白色郁金香	white_tulip	ID相同
	墙上的白色旗帜	white_wall_banner	物品的放置方式变种（white_banner）
	白色羊毛	white_wool	ID相同
	野花簇	wildflowers	ID相同
	凋灵玫瑰	wither_rose	ID相同
	凋灵骷髅头颅	wither_skeleton_skull	ID相同
	墙上的凋灵骷髅头颅	wither_skeleton_wall_skull	物品的放置方式变种（wither_skeleton_skull）
	黄色旗帜	yellow_banner	ID相同
	黄色床	yellow_bed	ID相同
	黄色蜡烛	yellow_candle	ID相同
	插上黄色蜡烛的蛋糕	yellow_candle_cake	叠加型方块（cake）
	黄色地毯	yellow_carpet	ID相同
	黄色混凝土	yellow_concrete	ID相同
	黄色混凝土粉末	yellow_concrete_powder	ID相同
	黄色带釉陶瓦	yellow_glazed_terracotta	ID相同
	黄色潜影盒	yellow_shulker_box	ID相同
	黄色染色玻璃	yellow_stained_glass	ID相同
	黄色染色玻璃板	yellow_stained_glass_pane	ID相同
	黄色陶瓦	yellow_terracotta	ID相同
	墙上的黄色旗帜	yellow_wall_banner	物品的放置方式变种（yellow_banner）
	黄色羊毛	yellow_wool	ID相同
	僵尸的头	zombie_head	ID相同
	墙上的僵尸的头	zombie_wall_head
